arch,prefix,label,silhouette
agentic_txc_02,high,semantic,0.008363169617950916
agentic_txc_02,high,context,-0.09189782291650772
agentic_txc_02,high,pos,0.07684863358736038
agentic_txc_02,low,semantic,0.00629555806517601
agentic_txc_02,low,context,-0.05437422916293144
agentic_txc_02,low,pos,0.01857619546353817
agentic_mlc_08,high,semantic,-0.00879689585417509
agentic_mlc_08,high,context,-0.11506723612546921
agentic_mlc_08,high,pos,0.049690186977386475
agentic_mlc_08,low,semantic,-0.018316635861992836
agentic_mlc_08,low,context,-0.12284056097269058
agentic_mlc_08,low,pos,-0.018925616517663002
tsae_ours,high,semantic,-0.012923774309456348
tsae_ours,high,context,-0.1501554250717163
tsae_ours,high,pos,0.04443434998393059
tsae_ours,low,semantic,-0.008512899279594421
tsae_ours,low,context,-0.1118897944688797
tsae_ours,low,pos,0.011087452061474323
